report_number,title,report_date,publication_date,post_published_at,post_modified_at,post_url,pdf_url,raw_path,pdf_sha256,pdf_bytes,official_pdf_sha256,official_pdf_bytes,source_relation,source_gate_status,source_identity_status,last_modified,etag,pdf_text_status,text_extractable,text_chars,layout_status,extraction_confidence,headline_status,table_ii_status,national_values_status,national_confirmed_cases,national_confirmed_deaths,national_suspected_cases,national_suspected_deaths,draft_status,blocking_reason,revision_notes,status
013,SitRep MVE N° 013/2026,2026-05-27,2026-05-28,2026-05-28T17:25:51Z,2026-05-28T18:17:12Z,https://insp.cd/sitrep-mve-n-013-2026/,,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,0245ec89ce61357f0f4ab8e0c77e319a4f6362cd86d3c8844459b39a9325e692,1163454,,,official_unchecked,blocked_missing_official_pdf_url,matched,,,text_extracted,true,11211,known_text_layout,high,headline_extracted,table_ii_extracted,found,125,17,906,223,blocked,blocked_missing_official_pdf_url,Le nombre de cas suspects a été revu à la baisse suite au retrait des non-cas et des cas confirmés. | Ces données sont susceptibles de changer après harmonisation des données à différents niveaux de la pyramide sanitaire avec le système de,missing_pdf_url
014,SitRep MVE N° 014/2026,2026-05-28,2026-05-29,2026-05-30T14:03:52Z,2026-05-30T14:03:57Z,https://insp.cd/sitrep-mve-n-014-2026/,,data/insp_sitrep/raw/SitRep_MVE_014-2026.pdf,6032732734794ca6e0ec3782ad449e6330b152d6c61c408da5875c0bf1114dec,1785194,,,official_unchecked,blocked_missing_official_pdf_url,matched,,,text_extracted,true,10773,partial_extract,partial,headline_extracted,table_ii_missing,found_withheld_by_sitrep,210,17,349,ND,blocked,table_ii_missing;blocked_missing_official_pdf_url," Le nombre de cas suspects a été revu à la baisse, ces derniers ayant fait l'objet d'investigations et de prélèvements dont les résultats ont confirmé certains cas et infirmé d'autres. |  Les décès suspects ont été temporairement exclus du comptage dans l'attente des résultats des investigations en cours, qui permettront de les confirmer et de les classer comme cas",missing_pdf_url
