status,processed_file,metric,nom,date,processed_value,extracted_value,source_report_number,source_pdf,source_post,source_raw_path,method,draft_status,blocking_reason
match,insp_sitrep__cumulative_contacts_traced__daily.csv,cumulative_contacts_traced,Bambu,2026-05-27,244,244,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_contacts_traced__daily.csv,cumulative_contacts_traced,Bunia,2026-05-27,404,404,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_contacts_traced__daily.csv,cumulative_contacts_traced,Butembo,2026-05-27,28,28,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_contacts_traced__daily.csv,cumulative_contacts_traced,Goma,2026-05-27,74,74,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
candidate_added,insp_sitrep__cumulative_contacts_traced__daily.csv,cumulative_contacts_traced,Kalunguta,2026-05-27,,ND,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_contacts_traced__daily.csv,cumulative_contacts_traced,Karisimbi,2026-05-27,181,181,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_contacts_traced__daily.csv,cumulative_contacts_traced,Katwa,2026-05-27,111,111,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_contacts_traced__daily.csv,cumulative_contacts_traced,Kilo,2026-05-27,41,41,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_contacts_traced__daily.csv,cumulative_contacts_traced,Kyondo,2026-05-27,16,16,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
candidate_added,insp_sitrep__cumulative_contacts_traced__daily.csv,cumulative_contacts_traced,Miti-Murhesa,2026-05-27,,ND,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_contacts_traced__daily.csv,cumulative_contacts_traced,Mongbalu,2026-05-27,222,222,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_contacts_traced__daily.csv,cumulative_contacts_traced,Nizi,2026-05-27,220,220,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_contacts_traced__daily.csv,cumulative_contacts_traced,Nyakunde,2026-05-27,397,397,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
candidate_added,insp_sitrep__cumulative_contacts_traced__daily.csv,cumulative_contacts_traced,Oicha,2026-05-27,,ND,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_contacts_traced__daily.csv,cumulative_contacts_traced,Rwampara,2026-05-27,697,697,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_cases__daily.csv,cumulative_suspected_cases,Aru,2026-05-27,4,4,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_cases__daily.csv,cumulative_suspected_cases,Bambu,2026-05-27,6,6,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_cases__daily.csv,cumulative_suspected_cases,Bunia,2026-05-27,249,249,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_cases__daily.csv,cumulative_suspected_cases,Butembo,2026-05-27,7,7,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_cases__daily.csv,cumulative_suspected_cases,Goma,2026-05-27,0,0,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_cases__daily.csv,cumulative_suspected_cases,Kalunguta,2026-05-27,13,13,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
candidate_added,insp_sitrep__cumulative_suspected_cases__daily.csv,cumulative_suspected_cases,Katwa,2026-05-27,,0,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_cases__daily.csv,cumulative_suspected_cases,Kilo,2026-05-27,8,8,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_cases__daily.csv,cumulative_suspected_cases,Kyondo,2026-05-27,0,0,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_cases__daily.csv,cumulative_suspected_cases,Miti-Murhesa,2026-05-27,1,1,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_cases__daily.csv,cumulative_suspected_cases,Mongbalu,2026-05-27,339,339,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_cases__daily.csv,cumulative_suspected_cases,Nizi,2026-05-27,6,6,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_cases__daily.csv,cumulative_suspected_cases,Nyakunde,2026-05-27,45,45,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_cases__daily.csv,cumulative_suspected_cases,Oicha,2026-05-27,0,0,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_cases__daily.csv,cumulative_suspected_cases,Rwampara,2026-05-27,228,228,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_deaths__daily.csv,cumulative_suspected_deaths,Aru,2026-05-27,1,1,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
