review_status,report_number,report_date,post_published_at,post_modified_at,pdf_last_modified,source_raw_path,source_pdf,source_post,source_gate_status,source_identity_status,source_relation,layout_status,extraction_confidence,headline_status,table_ii_status,national_values_status,draft_status,blocking_reason,review_action
blocked,013,2026-05-27,2026-05-28T17:25:51Z,2026-05-28T18:17:12Z,,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,,https://insp.cd/sitrep-mve-n-013-2026/,blocked_missing_official_pdf_url,matched,official_unchecked,known_text_layout,high,headline_extracted,table_ii_extracted,found,blocked,blocked_missing_official_pdf_url,Open data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf; automated drafts are blocked until this source/layout issue is resolved: blocked_missing_official_pdf_url
blocked,014,2026-05-28,2026-05-30T14:03:52Z,2026-05-30T14:03:57Z,,data/insp_sitrep/raw/SitRep_MVE_014-2026.pdf,,https://insp.cd/sitrep-mve-n-014-2026/,blocked_missing_official_pdf_url,matched,official_unchecked,partial_extract,partial,headline_extracted,table_ii_missing,found_withheld_by_sitrep,blocked,table_ii_missing;blocked_missing_official_pdf_url,Open data/insp_sitrep/raw/SitRep_MVE_014-2026.pdf; automated drafts are blocked until this source/layout issue is resolved: table_ii_missing;blocked_missing_official_pdf_url
