report_number,report_date,nom_raw,nom,metric,value,source_pdf,source_post,method
013,2026-05-27,Nyankunde,Nyakunde,cumulative_suspected_cases,45,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Nyankunde,Nyakunde,cumulative_suspected_deaths,11,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Nyankunde,Nyakunde,cumulative_confirmed_cases,10,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Nyankunde,Nyakunde,cumulative_contacts_traced,397,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Rwampara,Rwampara,cumulative_suspected_cases,228,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Rwampara,Rwampara,cumulative_suspected_deaths,69,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Rwampara,Rwampara,cumulative_confirmed_cases,33,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Rwampara,Rwampara,cumulative_contacts_traced,697,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Butembo,Butembo,cumulative_suspected_cases,7,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Butembo,Butembo,cumulative_suspected_deaths,0,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
013,2026-05-27,Butembo,Butembo,cumulative_confirmed_cases,5,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,pdftotext_layout_table_ii
